step,is_end,oos_period,best_bias_swing,best_ob_swing,best_sl_buffer,best_min_rr,is_signals,is_decided,is_expectancy,is_avg_expectancy,is_best_vs_avg_ratio,oos_signals,oos_decided,oos_win_rate,oos_total_rr,oos_expectancy
0,2023-04-01,2023-04-01→2023-05-01,10,10,50,0.5,2,2,0.2966,0.0989,3.0,15,14,100.0,10.26,0.7325
1,2023-05-01,2023-05-01→2023-06-01,10,10,50,1.5,2,1,1.6983,1.1475,1.48,3,3,100.0,6.46,2.1541
2,2023-06-01,2023-06-01→2023-07-01,10,10,50,1.5,4,4,2.0401,1.3968,1.46,0,0,0.0,0.0,0.0
3,2023-07-01,2023-07-01→2023-08-01,10,10,25,0.5,30,30,0.7636,0.9106,0.84,16,16,100.0,19.25,1.2033
4,2023-08-01,2023-08-01→2023-09-01,10,10,25,0.5,47,47,0.9162,1.1665,0.79,49,47,97.87234042553192,41.27,0.8781
5,2023-09-01,2023-09-01→2023-10-01,10,10,50,1.0,46,44,1.3402,1.294,1.04,19,16,93.75,14.15,0.8845
6,2023-10-01,2023-10-01→2023-11-01,10,10,50,1.5,37,34,1.476,1.1579,1.27,7,6,100.0,21.84,3.6395
7,2023-11-01,2023-11-01→2023-12-01,10,10,25,1.5,44,43,1.8023,1.3653,1.32,5,5,60.0,3.0,0.6009
8,2023-12-01,2023-12-01→2024-01-01,10,10,25,1.5,50,50,1.694,1.2172,1.39,5,4,100.0,9.88,2.4697
9,2024-01-01,2024-01-01→2024-02-01,10,10,25,1.5,55,54,1.7515,1.2037,1.46,0,0,0.0,0.0,0.0
10,2024-02-01,2024-02-01→2024-03-01,10,10,25,1.5,57,57,1.5923,1.1189,1.42,4,4,100.0,6.85,1.7129
11,2024-03-01,2024-03-01→2024-04-01,10,10,25,1.5,62,62,1.5965,1.131,1.41,5,5,100.0,6.74,1.3486
12,2024-04-01,2024-04-01→2024-05-01,10,10,25,1.5,68,68,1.5816,1.1155,1.42,11,11,100.0,23.51,2.1372
13,2024-05-01,2024-05-01→2024-06-01,10,10,25,1.5,81,81,1.6469,1.1734,1.4,6,6,100.0,7.99,1.3311
14,2024-06-01,2024-06-01→2024-07-01,10,10,25,1.5,87,87,1.6251,1.1577,1.4,3,3,100.0,8.55,2.8498
15,2024-07-01,2024-07-01→2024-08-01,10,10,25,1.5,93,93,1.6682,1.1863,1.41,0,0,0.0,0.0,0.0
16,2024-08-01,2024-08-01→2024-09-01,10,10,25,1.5,96,96,1.5795,1.135,1.39,2,2,100.0,4.65,2.3259
17,2024-09-01,2024-09-01→2024-10-01,10,10,25,1.5,102,102,1.5866,1.1485,1.38,10,9,100.0,15.96,1.7729
18,2024-10-01,2024-10-01→2024-11-01,10,10,25,1.5,114,113,1.6167,1.1739,1.38,9,8,100.0,15.25,1.9063
19,2024-11-01,2024-11-01→2024-12-01,10,10,25,1.5,123,122,1.6462,1.1995,1.37,7,7,100.0,12.38,1.769
20,2024-12-01,2024-12-01→2025-01-01,10,10,25,1.5,132,132,1.6094,1.1888,1.35,3,3,66.66666666666666,2.29,0.7639
21,2025-01-01,2025-01-01→2025-02-01,10,10,25,1.5,135,135,1.5906,1.1802,1.35,4,4,50.0,0.85,0.2114
22,2025-02-01,2025-02-01→2025-03-01,10,10,25,1.5,139,139,1.5509,1.16,1.34,0,0,0.0,0.0,0.0
23,2025-03-01,2025-03-01→2025-04-01,10,10,25,1.5,142,142,1.5171,1.1385,1.33,1,0,0.0,0.0,0.0
24,2025-04-01,2025-04-01→2025-05-01,10,10,25,1.5,144,143,1.5294,1.1426,1.34,7,6,83.33333333333334,8.67,1.4448
25,2025-05-01,2025-05-01→2025-06-01,10,10,25,1.5,151,150,1.5078,1.1224,1.34,3,3,33.33333333333333,-0.37,-0.1242
26,2025-06-01,2025-06-01→2025-07-01,10,10,25,1.5,155,155,1.4589,1.0901,1.34,6,6,66.66666666666666,4.24,0.7071
27,2025-07-01,2025-07-01→2025-08-01,10,10,25,1.5,164,164,1.4161,1.0671,1.33,3,3,100.0,6.6,2.1986
28,2025-08-01,2025-08-01→2025-09-01,10,10,25,1.5,171,171,1.3857,1.0509,1.32,1,0,0.0,0.0,0.0
29,2025-09-01,2025-09-01→2025-10-01,10,10,25,1.5,173,172,1.3845,1.0515,1.32,0,0,0.0,0.0,0.0
30,2025-10-01,2025-10-01→2025-11-01,10,10,25,1.5,176,176,1.3418,1.0176,1.32,18,15,73.33333333333333,30.82,2.055
31,2025-11-01,2025-11-01→2025-12-01,10,10,25,1.5,198,195,1.4085,1.0678,1.32,8,6,66.66666666666666,5.32,0.8874
32,2025-12-01,2025-12-01→2026-01-01,10,10,25,1.5,206,204,1.3675,1.0393,1.32,11,11,72.72727272727273,11.94,1.0855
33,2026-01-01,2026-01-01→2026-02-01,10,10,25,1.5,217,217,1.3433,1.0299,1.3,1,1,100.0,2.23,2.2318
34,2026-02-01,2026-02-01→2026-03-01,10,10,25,1.5,218,218,1.3474,1.0242,1.32,6,5,100.0,10.56,2.1124
35,2026-03-01,2026-03-01→2026-04-01,10,10,25,1.5,225,224,1.3668,1.0368,1.32,0,0,0.0,0.0,0.0
36,2026-04-01,2026-04-01→2026-05-01,10,10,25,1.5,228,227,1.3319,1.0035,1.33,2,1,0.0,-1.22,-1.2243
37,2026-05-01,2026-05-01→2026-06-01,10,10,25,1.5,232,231,1.323,0.9974,1.33,4,4,25.0,-2.14,-0.535
38,2026-06-01,2026-06-01→2026-07-01,10,10,100,1.5,229,229,1.3147,0.9748,1.35,5,5,100.0,15.97,3.1936
