step,oos_start,oos_end,ticker,signal_time,direction,entry,sl,tp1,rr1,outcome,actual_rr,params_used
0,2023-04-01,2023-05-01,ENPG,2023-04-25 07:00:00+00:00,BUY,475.0,471.4975,480.0,1.4,WIN_TP1,1.0473947180585292,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,FLOT,2023-04-03 07:00:00+00:00,BUY,58.31,57.5075,59.3,1.2,WIN_TP1,1.0110828660436142,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,FLOT,2023-04-24 07:00:00+00:00,BUY,58.31,57.5075,59.3,1.2,WIN_TP1,1.0110828660436142,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,TRNFP,2023-04-11 13:00:00+00:00,BUY,1254.0,1236.4975,1282.5,1.6,LOSS,-1.1862819597200394,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,SNGSP,2023-04-07 12:00:00+00:00,BUY,33.98,33.3575,34.885,1.5,WIN_TP1,1.358075502008031,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,SNGSP,2023-04-11 13:00:00+00:00,BUY,33.98,33.3575,34.66,1.1,WIN_TP1,0.9580755020080312,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,SNGSP,2023-04-13 07:00:00+00:00,BUY,33.98,33.3575,34.885,1.5,WIN_TP1,1.358075502008031,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,AFKS,2023-04-11 13:00:00+00:00,BUY,14.394,14.2505,14.68,2.0,WIN_TP1,1.739202787456445,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,AFKS,2023-04-25 07:00:00+00:00,BUY,14.889,14.7985,14.987,1.1,WIN_TP1,0.6722497237569001,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,NLMK,2023-04-14 08:00:00+00:00,BUY,129.98,129.1975,131.2,1.6,WIN_TP1,1.1681175718849834,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,ETLN,2023-04-24 07:00:00+00:00,BUY,62.56,61.9975,63.16,1.1,WIN_TP1,0.8108337777777779,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,SNGS,2023-04-17 07:00:00+00:00,BUY,24.575,24.45213,24.82,2.0,WIN_TP1,1.4799788394237767,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
0,2023-04-01,2023-05-01,SNGS,2023-04-20 08:00:00+00:00,BUY,24.575,24.45213,24.82,2.0,WIN_TP1,1.4799788394237767,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 1.0}"
1,2023-05-01,2023-06-01,ENPG,2023-05-10 07:00:00+00:00,BUY,434.0,429.9975,437.0,0.7,WIN_TP1,0.4180762023735164,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 0.5}"
1,2023-05-01,2023-06-01,ENPG,2023-05-11 11:00:00+00:00,BUY,453.0,450.735,459.5,2.9,LOSS,-1.5200000000000031,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 0.5}"
1,2023-05-01,2023-06-01,ENPG,2023-05-17 07:00:00+00:00,BUY,458.39999,451.79749,465.0,1.0,WIN_TP1,0.8194865620598264,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 0.5}"
1,2023-05-01,2023-06-01,ENPG,2023-05-18 07:00:00+00:00,BUY,458.39999,451.79749,465.0,1.0,LOSS,-1.1805134379401736,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 0.5}"
1,2023-05-01,2023-06-01,ENPG,2023-05-31 07:00:00+00:00,BUY,434.0,429.9975,440.0,1.5,EXPIRED,,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 0.5}"
1,2023-05-01,2023-06-01,NVTK,2023-05-04 07:00:00+00:00,BUY,1230.59998,1204.9975,1254.8,0.9,WIN_TP1,0.7750292960681935,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 25, ""min_rr"": 0.5}"
