step,oos_start,oos_end,ticker,signal_time,direction,entry,sl,tp1,rr1,outcome,actual_rr,params_used
0,2023-04-01,2023-07-01,ENPG,2023-04-04 08:00:00+00:00,BUY,435.0,420.495,444.5,0.7,WIN_TP1,0.6220268872802481,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,NVTK,2023-04-12 08:00:00+00:00,BUY,1230.59998,1204.995,1254.8,0.9,WIN_TP1,0.7750414978648689,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,NVTK,2023-05-23 08:00:00+00:00,BUY,1273.59998,1258.39502,1307.4,2.2,WIN_TP1,1.982218437404637,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,OZON,2023-05-25 08:00:00+00:00,BUY,1790.0,1752.995,1813.0,0.6,WIN_TP1,0.4742332117281452,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,FLOT,2023-04-24 08:00:00+00:00,BUY,58.98,58.095,59.85,1.0,WIN_TP1,0.8267254237288132,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,VKCO,2023-05-24 08:00:00+00:00,BUY,538.20001,522.79499,553.0,1.0,WIN_TP1,0.9091646732039298,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,TRNFP,2023-05-19 08:00:00+00:00,BUY,1201.0,1156.995,1226.0,0.6,WIN_TP1,0.5290398818316102,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,CHMF,2023-04-04 12:00:00+00:00,BUY,1041.19995,1027.995,1048.0,0.5,WIN_TP1,0.2949920393488814,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,CHMF,2023-04-17 08:00:00+00:00,BUY,1027.0,1012.59498,1038.4,0.8,WIN_TP1,0.6146340650689834,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,CHMF,2023-05-25 12:00:00+00:00,SELL,1016.59998,1024.20495,1012.6,0.5,WIN_TP1,0.15244308024884162,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,CHMF,2023-06-15 12:00:00+00:00,SELL,1071.0,1084.80505,1032.0,2.8,LOSS,-1.2017087949699576,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,PHOR,2023-04-19 12:00:00+00:00,BUY,7199.0,7149.995,7249.0,1.0,WIN_TP1,0.6180512192633414,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,AFKS,2023-04-07 08:00:00+00:00,BUY,14.74,14.465,15.0,0.9,WIN_TP1,0.7606400000000002,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,AFKS,2023-05-26 08:00:00+00:00,BUY,15.735,15.555,15.928,1.1,WIN_TP1,0.8727166666666664,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,NLMK,2023-04-04 12:00:00+00:00,BUY,132.38,130.515,133.9,0.8,WIN_TP1,0.6154487935656846,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,FESH,2023-04-07 08:00:00+00:00,BUY,37.15,36.285,37.78,0.7,WIN_TP1,0.5883352601156071,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,FESH,2023-04-21 08:00:00+00:00,BUY,48.04,46.555,49.76,1.2,WIN_TP1,1.1158895622895622,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,FESH,2023-05-22 08:00:00+00:00,BUY,48.39,47.575,49.38,1.2,WIN_TP1,1.0456269938650302,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,FESH,2023-05-26 08:00:00+00:00,BUY,53.82,52.095,56.75,1.7,WIN_TP1,1.61888,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,MAGN,2023-06-07 08:00:00+00:00,SELL,41.545,42.025,40.0,3.2,LOSS,-1.2250354166666682,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,ETLN,2023-04-19 12:00:00+00:00,BUY,62.48,61.035,63.4,0.6,WIN_TP1,0.4875792387543253,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,ETLN,2023-05-22 12:00:00+00:00,BUY,72.92,71.555,76.98,3.0,WIN_TP1,2.8611047619047616,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,SNGS,2023-04-10 12:00:00+00:00,BUY,24.94,24.11,25.575,0.8,WIN_TP1,0.721874698795181,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,SNGS,2023-04-19 12:00:00+00:00,BUY,24.83,24.51,25.43,1.9,WIN_TP1,1.6982562499999978,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,IRKT,2023-06-20 08:00:00+00:00,SELL,64.46,66.005,62.08,1.5,WIN_TP1,1.3915236245954694,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,MGNT,2023-05-15 08:00:00+00:00,BUY,4500.0,4439.995,4567.0,1.1,WIN_TP1,0.9050162486459467,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
0,2023-04-01,2023-07-01,MOEX,2023-05-11 08:00:00+00:00,SELL,110.87,111.805,110.05,0.9,WIN_TP1,0.591698395721926,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 0.5}"
1,2023-05-01,2023-08-01,ENPG,2023-07-21 08:00:00+00:00,BUY,514.40002,503.79499,536.0,2.0,WIN_TP1,1.8738862547300674,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 1.5}"
1,2023-05-01,2023-08-01,NVTK,2023-05-23 08:00:00+00:00,BUY,1273.59998,1258.39502,1307.4,2.2,WIN_TP1,1.982218437404637,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 1.5}"
1,2023-05-01,2023-08-01,NVTK,2023-07-25 08:00:00+00:00,BUY,1473.80005,1465.39502,1498.6,3.0,WIN_TP1,2.544096793229775,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 1.5}"
1,2023-05-01,2023-08-01,NVTK,2023-07-26 08:00:00+00:00,BUY,1473.80005,1465.39502,1498.6,3.0,WIN_TP1,2.544096793229775,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 1.5}"
1,2023-05-01,2023-08-01,OZON,2023-07-21 08:00:00+00:00,BUY,2074.5,2049.995,2126.5,2.1,WIN_TP1,1.879893899204245,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 1.5}"
1,2023-05-01,2023-08-01,CHMF,2023-06-15 12:00:00+00:00,SELL,1071.0,1084.80505,1032.0,2.8,LOSS,-1.2017087949699576,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 1.5}"
1,2023-05-01,2023-08-01,NLMK,2023-07-24 08:00:00+00:00,BUY,191.94,188.995,196.48,1.5,WIN_TP1,1.3305453310696091,"{""bias_swing"": 10, ""ob_swing"": 10, ""sl_buffer"": 50, ""min_rr"": 1.5}"
