step,is_end,oos_period,best_bias_swing,best_ob_swing,best_sl_buffer,best_min_rr,is_signals,is_decided,is_expectancy,is_avg_expectancy,is_best_vs_avg_ratio,oos_signals,oos_decided,oos_win_rate,oos_total_rr,oos_expectancy
0,2023-04-01,2023-04-01→2023-07-01,10,10,25,1.0,1,1,0.88,0.4882,1.8,41,41,90.2439024390244,45.44,1.1084
1,2023-05-01,2023-05-01→2023-08-01,10,10,25,0.5,34,34,0.6589,0.8623,0.76,72,72,91.66666666666666,56.95,0.791
2,2023-06-01,2023-06-01→2023-09-01,10,10,25,1.0,41,40,1.1654,1.1439,1.02,40,40,97.5,53.81,1.3453
3,2023-07-01,2023-07-01→2023-10-01,10,10,25,1.0,42,42,1.103,1.0638,1.04,68,68,94.11764705882352,85.01,1.2502
4,2023-08-01,2023-08-01→2023-11-01,10,10,25,1.0,52,52,1.1818,1.1472,1.03,74,73,91.78082191780823,84.33,1.1553
5,2023-09-01,2023-09-01→2023-12-01,10,10,50,1.5,42,42,1.5903,1.1898,1.34,39,39,84.61538461538461,43.31,1.1104
6,2023-10-01,2023-10-01→2024-01-01,10,10,50,1.5,57,57,1.5605,1.1644,1.34,29,29,79.3103448275862,24.81,0.8556
7,2023-11-01,2023-11-01→2024-02-01,10,10,50,1.5,68,68,1.5076,1.1313,1.33,19,19,68.42105263157895,9.72,0.5116
8,2023-12-01,2023-12-01→2024-03-01,10,10,25,1.5,84,84,1.379,1.0371,1.33,8,8,50.0,1.57,0.1968
9,2024-01-01,2024-01-01→2024-04-01,10,10,25,1.5,88,88,1.3266,0.984,1.35,12,12,91.66666666666666,13.83,1.1524
10,2024-02-01,2024-02-01→2024-05-01,10,10,25,1.5,89,89,1.2946,0.9652,1.34,22,22,90.9090909090909,28.91,1.314
11,2024-03-01,2024-03-01→2024-06-01,10,10,25,1.5,95,95,1.2767,0.9423,1.35,28,28,92.85714285714286,41.19,1.4709
12,2024-04-01,2024-04-01→2024-07-01,10,10,25,1.5,105,105,1.2657,0.9415,1.34,23,23,95.65217391304348,37.31,1.6223
13,2024-05-01,2024-05-01→2024-08-01,10,10,25,1.5,115,115,1.2867,0.9517,1.35,19,19,84.21052631578947,23.07,1.214
14,2024-06-01,2024-06-01→2024-09-01,10,10,25,1.5,123,123,1.3209,0.9667,1.37,21,21,80.95238095238095,23.11,1.1004
15,2024-07-01,2024-07-01→2024-10-01,10,10,25,1.5,128,128,1.3298,0.9596,1.39,31,30,76.66666666666667,34.8,1.16
16,2024-08-01,2024-08-01→2024-11-01,10,10,25,1.5,134,134,1.2764,0.9293,1.37,38,38,81.57894736842105,49.44,1.3011
17,2024-09-01,2024-09-01→2024-12-01,10,10,25,1.5,144,144,1.2887,0.9452,1.36,39,37,75.67567567567568,45.92,1.2412
18,2024-10-01,2024-10-01→2025-01-01,10,10,100,1.5,165,164,1.2598,0.93,1.35,26,26,80.76923076923077,37.13,1.4282
19,2024-11-01,2024-11-01→2025-02-01,10,10,100,1.5,172,172,1.2859,0.9479,1.36,28,28,78.57142857142857,46.01,1.6432
20,2024-12-01,2024-12-01→2025-03-01,10,10,100,1.5,180,178,1.2866,0.9509,1.35,20,20,85.0,37.75,1.8874
21,2025-01-01,2025-01-01→2025-04-01,10,10,100,1.5,192,192,1.2933,0.9548,1.35,26,26,65.38461538461539,23.82,0.9163
22,2025-02-01,2025-02-01→2025-05-01,10,10,100,1.5,200,200,1.3359,0.9822,1.36,34,34,70.58823529411765,30.68,0.9025
23,2025-03-01,2025-03-01→2025-06-01,10,10,100,1.5,200,200,1.3359,0.9788,1.36,43,43,67.44186046511628,35.21,0.8188
24,2025-04-01,2025-04-01→2025-07-01,10,10,100,1.5,218,218,1.2483,0.9285,1.34,37,37,72.97297297297297,39.94,1.0795
25,2025-05-01,2025-05-01→2025-08-01,10,10,100,1.5,237,237,1.253,0.9393,1.33,32,32,75.0,32.07,1.0023
26,2025-06-01,2025-06-01→2025-09-01,10,10,25,1.5,250,250,1.2236,0.9154,1.34,25,25,84.0,30.94,1.2376
27,2025-07-01,2025-07-01→2025-10-01,10,10,100,1.5,255,255,1.2238,0.9042,1.35,16,16,68.75,11.42,0.7137
28,2025-08-01,2025-08-01→2025-11-01,10,10,25,1.5,275,275,1.2232,0.9013,1.36,22,22,77.27272727272727,31.48,1.4308
29,2025-09-01,2025-09-01→2025-12-01,10,10,25,1.5,278,278,1.2186,0.8968,1.36,37,35,82.85714285714286,53.3,1.5229
30,2025-10-01,2025-10-01→2026-01-01,10,10,25,1.5,280,280,1.2008,0.8862,1.36,47,47,78.72340425531915,61.63,1.3112
31,2025-11-01,2025-11-01→2026-02-01,10,10,25,1.5,299,299,1.2406,0.9094,1.36,40,40,80.0,48.33,1.2082
32,2025-12-01,2025-12-01→2026-03-01,10,10,25,1.5,318,316,1.237,0.9039,1.37,27,27,81.48148148148148,31.53,1.1678
33,2026-01-01,2026-01-01→2026-04-01,10,10,25,1.5,328,328,1.2171,0.8862,1.37,22,22,77.27272727272727,23.16,1.0527
34,2026-02-01,2026-02-01→2026-05-01,10,10,25,1.5,339,339,1.2368,0.8962,1.38,13,13,53.84615384615385,2.46,0.1889
35,2026-03-01,2026-03-01→2026-06-01,10,10,25,1.5,345,345,1.2377,0.8896,1.39,19,18,72.22222222222221,17.84,0.9912
36,2026-04-01,2026-04-01→2026-07-01,10,10,25,1.5,350,350,1.2068,0.8684,1.39,34,34,76.47058823529412,37.39,1.0997
